,Worldwide Gross ($)
657,559852396.0
658,449326618.0
659,481800873.0
660,370569774.0
661,216639112.0
662,288383523.0
663,665692281.0
664,352616690.0
665,554987477.0
666,483866518.0
667,563749323.0
668,260095986.0
669,543848418.0
670,245724603.0
671,694713380.0
672,209838559.0
673,219851172.0
674,183953723.0
675,207039844.0
676,214945591.0
677,216197492.0
678,174822325.0
679,193967670.0
680,227817248.0
681,185542001.0
682,342695435.0
683,299268508.0
684,145051197.0
685,211819354.0
686,226904017.0
687,165184237.0
688,169852759.0
689,161849455.0
690,152930623.0
691,136515867.0
692,110206216.0
693,99036827.0
694,95932565.0
695,149673788.0
696,149228077.0
697,187361754.0
698,135710029.0
699,127869379.0
700,159196259.0
701,117094902.0
702,86752352.0
703,153959590.0
704,149542245.0
705,149878437.0
706,147332697.0
707,99557032.0
708,54161287.0
709,72526996.0
710,63543328.0
711,232617430.0
712,185770160.0
713,69721966.0
714,147419472.0
715,86157237.0
716,142044638.0
717,47120948.0
718,373993951.0
719,157887643.0
720,76338111.0
721,63782078.0
722,65100369.0
723,85564310.0
724,177243185.0
725,97138686.0
726,82686066.0
727,90260376.0
728,97984015.0
729,40492652.0
730,120081841.0
731,38158601.0
732,75450437.0
733,40662632.0
734,173930596.0
735,63458440.0
736,84920539.0
737,89792502.0
738,177584879.0
739,75055070.0
740,41097853.0
741,36192775.0
742,76976666.0
743,35185884.0
744,96560591.0
745,48147945.0
746,45636368.0
747,78309505.0
748,76130093.0
749,82087155.0
750,43202283.0
751,49871429.0
752,34942188.0
753,57084522.0
754,91627228.0
755,25804448.0
756,38269529.0
757,108609310.0
758,39782683.0
759,28013733.0
760,39233678.0
761,39984400.0
762,63523283.0
763,132274484.0
764,37989684.0
765,41363927.0
766,41002607.0
767,26236153.0
768,31505287.0
769,30857747.0
770,41644475.0
771,15691640.0
772,30426096.0
773,59389433.0
774,23308615.0
775,58409247.0
776,30134958.0
777,18663238.0
778,64626786.0
779,15623183.0
780,22939027.0
781,34710627.0
782,40909909.0
783,11168712.0
784,11789613.0
785,23167844.0
786,10702246.0
787,31410151.0
788,35057696.0
789,160078586.0
790,7706436.0
791,24792815.0
792,8179416.0
793,7550073.0
794,7728936.0
795,14311701.0
796,19561904.0
797,8183347.0
798,19504039.0
799,25147786.0
800,4627375.0
801,133432856.0
802,15395087.0
803,8087000.0
804,12104765.0
805,4373074.0
806,8437872.0
807,4448728.0
808,43803417.0
809,81244605.0
810,3731489.0
811,3375215.0
812,16004150.0
813,5192743.0
814,4058694.0
815,33678406.0
816,4778439.0
817,6913518.0
818,2820490.0
819,24172201.0
820,2530394.0
821,35911689.0
822,17039814.0
823,2430735.0
824,7099598.0
825,3741198.0
826,1891936.0
827,19123767.0
828,31516209.0
829,1863506.0
830,3741098.0
831,32309881.0
832,10197661.0
833,1591034.0
834,16706074.0
835,2848165.0
836,2210382.0
837,1892130.0
838,30519436.0
839,9330465.0
840,7736632.0
841,5728213.0
842,1352152.0
843,11348205.0
844,11301956.0
845,1938783.0
846,1200326.0
847,1188194.0
848,5782515.0
849,1870392.0
850,1874460.0
851,1103037.0
852,2355293.0
853,4372642.0
854,1077982.0
855,6206022.0
856,13004504.0
857,1597269.0
858,1651601.0
859,1205257.0
860,7294800.0
861,119929.0
862,24663361.0
863,906666.0
864,843370.0
865,818580.0
866,18689058.0
867,768580.0
868,764607.0
869,739561.0
870,1473341.0
871,9487445.0
872,14695775.0
873,711168.0
874,748453.0
875,731925.0
876,1824891.0
877,17107143.0
878,655802.0
879,8726551.0
880,698249.0
881,635325.0
882,3082958.0
883,887172.0
884,1508912.0
885,11445869.0
886,623392.0
887,3663918.0
888,3338690.0
889,3019382.0
890,7313485.0
891,6803887.0
892,533235.0
893,501360.0
894,1128477.0
895,11983381.0
896,2456722.0
897,471334.0
898,3875173.0
899,5452347.0
900,51899269.0
901,27533970.0
902,555511.0
903,634297.0
904,609880.0
905,12959706.0
906,408159.0
907,2945067.0
908,449702.0
909,1132843.0
910,369129.0
911,2533089.0
912,6965201.0
913,722451.0
914,1194710.0
915,422618.0
916,489126.0
917,30722632.0
918,652756.0
919,280025.0
920,286457.0
921,1116180.0
922,3924850.0
923,267965.0
924,55247881.0
925,266689.0
926,258223.0
927,707460.0
928,5341098.0
929,607169.0
930,50587661.0
931,242707.0
932,310812.0
933,12220456.0
934,2913599.0
935,393714.0
936,5224938.0
937,853862.0
938,212940.0
939,15061802.0
940,202531.0
941,343116.0
942,1369485.0
943,199442.0
944,18705853.0
945,509872.0
946,987883.0
947,1212206.0
948,363320.0
949,184705.0
950,180237.0
951,172935.0
952,183342.0
953,16863629.0
954,2518012.0
955,3179022.0
956,15038301.0
957,155005.0
958,10306807.0
959,177634.0
960,701334.0
961,58309289.0
962,151272.0
963,148994.0
964,143986.0
965,115890699.0
966,170323.0
967,144056.0
968,1764828.0
969,4729855.0
970,1889869.0
971,159715.0
972,135809.0
973,3680151.0
974,230529.0
975,41162041.0
976,12966357.0
977,11838177.0
978,122961.0
979,10687316.0
980,595802.0
981,123482.0
982,635162.0
983,116381.0
984,113794.0
985,257065.0
986,2169799.0
987,5826565.0
988,101729.0
989,100237.0
990,100468.0
991,96868.0
992,11027222.0
993,1437501.0
994,191185.0
995,92234.0
996,91260.0
997,87727.0
998,124532.0
999,4120012.0
1000,63618850.0
1001,254489.0
1002,103960367.0
1003,81600.0
1004,77466.0
1005,140123.0
1006,5017653.0
1007,2450045.0
1008,70600.0
1009,11868961.0
1010,123700.0
1011,769552.0
1012,634784.0
1013,42741494.0
1014,64572.0
1015,590567.0
1016,62173.0
1017,62027.0
1018,843423.0
1019,61794.0
1020,168982.0
1021,60630.0
1022,60335.0
1023,60291.0
1024,81881.0
1025,3484446.0
1026,9078349.0
1027,56573.0
1028,55518.0
1029,55366.0
1030,143485.0
1031,54805.0
1032,53714.0
1033,96115.0
1034,52681.0
1035,57620.0
1036,58585.0
1037,27390678.0
1038,49001.0
1039,450885.0
1040,60956.0
1041,48381.0
1042,2089266.0
1043,292870.0
1044,47305.0
1045,47214.0
1046,47000.0
1047,46782.0
1048,46623.0
1049,564864.0
1050,46029.0
1051,86028.0
1052,1271319.0
1053,620238.0
1054,1203699.0
1055,70256.0
1056,14682943.0
1057,43942.0
1058,86202.0
1059,43712.0
1060,43593.0
1061,43073.0
1062,41914.0
1063,6637166.0
1064,41045.0
1065,3604598.0
1066,45176.0
1067,161619.0
1068,40000.0
1069,9232318.0
1070,39201.0
1071,43839.0
1072,1826459.0
1073,222079.0
1074,408680.0
1075,435759.0
1076,35412.0
1077,35100.0
1078,358486.0
1079,40949.0
1080,34096.0
1081,33443.0
1082,405380.0
1083,33144.0
1084,33042.0
1085,1037505.0
1086,6963872.0
1087,130335.0
1088,245833.0
1089,31135.0
1090,31133.0
1091,31056.0
1092,1091132.0
1093,22926076.0
1094,56493.0
1095,8457741.0
1096,30000.0
1097,29904.0
1098,101860.0
1099,29384.0
1100,29316.0
1101,446131.0
1102,89182.0
1103,294599.0
1104,27052.0
1105,27000.0
1106,140907.0
1107,67093.0
1108,25844.0
1109,25517.0
1110,35671.0
1111,25027.0
1112,24657.0
1113,24554.0
1114,24544.0
1115,10117966.0
1116,23901.0
1117,23667.0
1118,1671196.0
1119,1451343.0
1120,217615.0
1121,272445.0
1122,22457.0
1123,48174.0
1124,22180.0
1125,22029.0
1126,126182.0
1127,21527.0
1128,884624.0
1129,21242.0
1130,20840.0
1131,44566.0
1132,32416.0
1133,1214076.0
1134,19411.0
1135,1384443.0
1136,19085.0
1137,22039.0
1138,28563.0
1139,18000.0
1140,316944.0
1141,17282.0
1142,52873.0
1143,676111.0
1144,8307227.0
1145,176784.0
1146,15379.0
1147,15005.0
1148,15003.0
1149,2340516.0
1150,2018685.0
1151,14351.0
1152,14231.0
1153,17309.0
1154,18364.0
1155,13826.0
1156,127362.0
1157,83137.0
1158,188242.0
1159,13080.0
1160,12971.0
1161,12366.0
1162,12358.0
1163,12139.0
1164,11514.0
1165,294483.0
1166,10935.0
1167,405268.0
1168,10600.0
1169,10357.0
1170,10152.0
1171,193981.0
1172,17977.0
1173,9570.0
1174,11026.0
1175,1247188.0
1176,730412.0
1177,8564.0
1178,11740.0
1179,659937.0
1180,31140.0
1181,627088.0
1182,229532.0
1183,53793.0
1184,7072.0
1185,40106.0
1186,21868.0
1187,7000.0
1188,9123187.0
1189,6840.0
1190,16232.0
1191,832150.0
1192,6035.0
1193,5874.0
1194,31720.0
1195,411967.0
1196,5580.0
1197,56857.0
1198,10189.0
1199,5154.0
1200,7200.0
1201,5073.0
1202,4791599.0
1203,4373.0
1204,4171.0
1205,251922.0
1206,4955.0
1207,4000.0
1208,4000.0
1209,24036.0
1210,3709.0
1211,25603.0
1212,10190.0
1213,3242.0
1214,25206.0
1215,846200.0
1216,3140.0
1217,3000.0
1218,3000.0
1219,4576.0
1220,6123.0
1221,2760.0
1222,4360391.0
1223,2664.0
1224,2659.0
1225,24655.0
1226,26011.0
1227,1008116.0
1228,2269.0
1229,3062.0
1230,515823.0
1231,1808.0
1232,5468650.0
1233,264498.0
1234,1532.0
1235,4453634.0
1236,19248.0
1237,968.0
1238,2099472.0
1239,290108.0
1240,84610.0
1241,573.0
1242,706.0
1243,832.0
1244,11100.0
1245,1518812988.0
1246,1081041287.0
1247,694394724.0
1248,1108561013.0
1249,829746820.0
1250,757930663.0
1251,538983207.0
1252,1017003568.0
1253,549368315.0
1254,746921274.0
1255,348840316.0
1256,624026776.0
1257,471222889.0
1258,877244782.0
1259,396592829.0
1260,358375603.0
1261,376141306.0
1262,201585328.0
1263,275293450.0
1264,403354469.0
1265,208076205.0
1266,196114570.0
1267,167739368.0
1268,276144750.0
1269,232325503.0
1270,335260290.0
1271,161772375.0
1272,96070507.0
1273,306941670.0
1274,104907746.0
1275,609016565.0
1276,314975955.0
1277,301970083.0
1278,245527149.0
1279,284139100.0
1280,441809770.0
1281,82497035.0
1282,425368238.0
1283,96262212.0
1284,176506819.0
1285,66899242.0
1286,303025485.0
1287,183018522.0
1288,126636097.0
1289,115350426.0
1290,114281051.0
1291,160112671.0
1292,99357138.0
1293,179379533.0
1294,198467168.0
1295,343550770.0
1296,234989584.0
1297,107139399.0
1298,156491279.0
1299,102731865.0
1300,128955898.0
1301,142802657.0
1302,101758490.0
1303,56012642.0
1304,132563930.0
1305,79781695.0
1306,50365498.0
1307,85446075.0
1308,77229695.0
1309,82515113.0
1310,62767829.0
1311,218340595.0
1312,82966152.0
1313,136836156.0
1314,68263166.0
1315,54819301.0
1316,73100172.0
1317,50950296.0
1318,102739593.0
1319,240159255.0
1320,69935600.0
1321,84384002.0
1322,69328283.0
1323,55078146.0
1324,88215156.0
1325,59418613.0
1326,116471580.0
1327,55404159.0
1328,57719093.0
1329,48963137.0
1330,68267862.0
1331,140470746.0
1332,35579177.0
1333,81491068.0
1334,119772232.0
1335,33449086.0
1336,44287131.0
1337,123054041.0
1338,31158113.0
1339,34823764.0
1340,54169363.0
1341,236412453.0
1342,130482868.0
1343,38080789.0
1344,34618867.0
1345,32726956.0
1346,24637800.0
1347,41863726.0
1348,31083599.0
1349,24719215.0
1350,50207820.0
1351,148800274.0
1352,34513760.0
1353,47636031.0
1354,22044277.0
1355,38390020.0
1356,55362705.0
1357,23812816.0
1358,33384127.0
1359,41564670.0
1360,73244881.0
1361,29699345.0
1362,28258060.0
1363,20546518.0
1364,32226382.0
1365,37930465.0
1366,32948113.0
1367,16816647.0
1368,41037742.0
1369,16527747.0
1370,30962335.0
1371,12558931.0
1372,19767535.0
1373,15950164.0
1374,21107746.0
1375,68929150.0
1376,23695388.0
1377,426588510.0
1378,11417362.0
1379,10090641.0
1380,34564651.0
1381,34153101.0
1382,35485056.0
1383,13019073.0
1384,11681781.0
1385,9929706.0
1386,7942116.0
1387,8446952.0
1388,10173682.0
1389,10656155.0
1390,5378228.0
1391,5157886.0
1392,27039669.0
1393,11350665.0
1394,4704757.0
1395,6985158.0
1396,9148519.0
1397,4424699.0
1398,3950244.0
1399,10813862.0
1400,16863583.0
1401,4174269.0
1402,3336053.0
1403,3329674.0
1404,4806423.0
1405,3332854.0
1406,3640975.0
1407,6703114.0
1408,7532259.0
1409,9122406.0
1410,5277766.0
1411,4490134.0
1412,1609789.0
1413,4426444.0
1414,4709246.0
1415,2692864.0
1416,9128263.0
1417,2495706.0
1418,5543117.0
1419,2266067.0
1420,4216988.0
1421,9074711.0
1422,2451259.0
1423,1226808.0
1424,4633668.0
1425,26001696.0
1426,10980481.0
1427,10299150.0
1428,1832541.0
1429,9584256.0
1430,1702415.0
1431,3242802.0
1432,6366835.0
1433,24922847.0
1434,4965950.0
1435,1513086.0
1436,1612434.0
1437,132820716.0
1438,3842919.0
1439,7011798.0
1440,6303709.0
1441,1386088.0
1442,2724695.0
1443,28775262.0
1444,1213128.0
1445,18962444.0
1446,3820405.0
1447,2293823.0
1448,3115609.0
1449,1065907.0
1450,9661759.0
1451,1730824.0
1452,1314358.0
1453,1034448.0
1454,1543613.0
1455,1721472.0
1456,94268432.0
1457,3001877.0
1458,1157257.0
1459,790421.0
1460,1574703.0
1461,1358668.0
1462,29342463.0
1463,1618361.0
1464,809590.0
1465,7029095.0
1466,2435325.0
1467,9520886.0
1468,3783865.0
1469,87126367.0
1470,1337281.0
1471,669289.0
1472,4058113.0
1473,14758997.0
1474,25807712.0
1475,8036853.0
1476,595018.0
1477,1105020.0
1478,587211.0
1479,2042203.0
1480,583844.0
1481,739085.0
1482,17877523.0
1483,983124.0
1484,881661.0
1485,7507008.0
1486,198087212.0
1487,1954125.0
1488,629107.0
1489,583443.0
1490,1561962.0
1491,12128575.0
1492,689861.0
1493,14089528.0
1494,424088.0
1495,13194167.0
1496,835095.0
1497,8493728.0
1498,499725.0
1499,390024.0
1500,2316971.0
1501,4227984.0
1502,2347919.0
1503,338803.0
1504,46282588.0
1505,1150681.0
1506,1309987.0
1507,592116.0
1508,2850852.0
1509,2855644.0
1510,2080634.0
1511,1533874.0
1512,918487.0
1513,17415418.0
1514,333388.0
1515,461405.0
1516,996103.0
1517,4045381.0
1518,43551154.0
1519,3265941.0
1520,455754.0
1521,388331.0
1522,243616.0
1523,713188.0
1524,967672.0
1525,236806.0
1526,2227905.0
1527,325653.0
1528,4305016.0
1529,29652180.0
1530,11039031.0
1531,5687319.0
1532,213476.0
1533,221082.0
1534,1271521.0
1535,20590872.0
1536,6879667.0
1537,53319615.0
1538,687636.0
1539,204232.0
1540,278336.0
1541,223580.0
1542,219407.0
1543,6889185.0
1544,4663094.0
1545,8369756.0
1546,219159.0
1547,210975.0
1548,180117.0
1549,7621364.0
1550,4083976.0
1551,177729.0
1552,1680778.0
1553,244951.0
1554,174065.0
1555,252805.0
1556,3323381.0
1557,5491108.0
1558,337150.0
1559,158411.0
1560,3822241.0
1561,157782.0
1562,156072.0
1563,269845.0
1564,1351146.0
1565,4483147.0
1566,230136.0
1567,1042673.0
1568,4505573.0
1569,146146.0
1570,2371548.0
1571,144123.0
1572,11928909.0
1573,1813916.0
1574,221590.0
1575,1971858.0
1576,136815.0
1577,4670432.0
1578,135228.0
1579,132055.0
1580,132160.0
1581,5816330.0
1582,268933.0
1583,155383.0
1584,1743743.0
1585,393880.0
1586,10109659.0
1587,120680.0
1588,9374932.0
1589,1528580.0
1590,659769.0
1591,113173.0
1592,112679.0
1593,636399.0
1594,111205.0
1595,110904.0
1596,261747.0
1597,110313.0
1598,354939.0
1599,175706.0
1600,123821.0
1601,1386378.0
1602,131965.0
1603,1742215.0
1604,1944287.0
1605,4396975.0
1606,1218174.0
1607,96734.0
1608,514913.0
1609,942041.0
1610,101934.0
1611,156695.0
1612,126238.0
1613,2104689.0
1614,81432.0
1615,146222.0
1616,1169750.0
1617,80996.0
1618,5435358.0
1619,146475.0
1620,88758.0
1621,73492.0
1622,1681521.0
1623,71737.0
1624,16653488.0
1625,9617377.0
1626,80879.0
1627,69394.0
1628,5348049.0
1629,68795.0
1630,64918.0
1631,667626.0
1632,63595.0
1633,104723314.0
1634,71968.0
1635,1946254.0
1636,61465.0
1637,61020.0
1638,7691610.0
1639,4028543.0
1640,67054.0
1641,56491.0
1642,162088.0
1643,55282.0
1644,54008.0
1645,2074864.0
1646,53953.0
1647,1192651.0
1648,59424.0
1649,52768.0
1650,14107313.0
1651,78024.0
1652,210123.0
1653,2455359.0
1654,50394.0
1655,50292.0
1656,465082.0
1657,3392158.0
1658,15082409.0
1659,65310.0
1660,46109.0
1661,44883.0
1662,44830.0
1663,321081.0
1664,43583.0
1665,47439.0
1666,43466.0
1667,150173.0
1668,42423.0
1669,41000.0
1670,41113.0
1671,40557.0
1672,40311.0
1673,1784286.0
1674,38691.0
1675,8835903.0
1676,38492.0
1677,129818.0
1678,36986.0
1679,36280.0
1680,88823111.0
1681,35784.0
1682,35797045.0
1683,34665.0
1684,36576.0
1685,31954.0
1686,31478.0
1687,31452.0
1688,197932.0
1689,41624.0
1690,48041.0
1691,1581252.0
1692,30655.0
1693,60064.0
1694,29864.0
1695,29093560.0
1696,30810.0
1697,65220.0
1698,54215.0
1699,35387.0
1700,450275.0
1701,28102.0
1702,28026.0
1703,31428.0
1704,26608.0
1705,26816.0
1706,25342.0
1707,25247.0
1708,34577.0
1709,456366.0
1710,24449.0
1711,134503.0
1712,28307.0
1713,22887.0
1714,92654.0
1715,22826.0
1716,22740.0
1717,22765.0
1718,22081.0
1719,318317.0
1720,21697.0
1721,21638.0
1722,21577.0
1723,49128.0
1724,22369.0
1725,1576687.0
1726,24686.0
1727,20386.0
1728,20183.0
1729,20135.0
1730,24090.0
1731,19482.0
1732,127541.0
1733,18945.0
1734,131208.0
1735,23115.0
1736,18618.0
1737,22664.0
1738,274480.0
1739,18193.0
1740,19001.0
1741,18081.0
1742,324834.0
1743,17979.0
1744,70851.0
1745,17739.0
1746,17077.0
1747,39623.0
1748,17036.0
