,Domestic Gross ($)
258,13.177182947168435
259,13.17532198438881
260,13.15204838527384
261,13.130391069091559
262,13.108864678532964
263,13.726480417369192
264,16.587403788405695
265,13.919564220060852
266,15.858676525308752
267,13.025837058402416
268,13.024479287934724
269,17.294538818393477
270,12.979850053447853
271,16.145047952430055
272,12.966008937747844
273,13.906601850766977
274,12.921428869368922
275,12.91439411206103
276,12.909051338003408
277,12.833814262513197
278,12.809847482392518
279,12.802243509049699
280,12.773684947384272
281,12.74058452201773
282,13.989466386092937
283,12.726255354907236
284,14.617089632666532
285,14.395290252464477
286,12.677593872641516
287,12.671763864687355
288,12.669275073953667
289,12.983730996833964
290,14.347380390885776
291,12.621699283309578
292,12.904426249117488
293,13.27426696297675
294,12.96429101783351
295,12.565176138155891
296,12.571853999965006
297,12.561885217733266
298,12.547699431748493
299,12.531415320564594
300,12.87818514012126
301,12.513704393289576
302,12.525932660095732
303,12.72601458909244
304,12.453877589435221
305,12.413802006258662
306,12.413403837828158
307,12.62484876769801
308,12.377084656489986
309,12.626807245969106
310,12.547354724861425
311,12.325370089446839
312,12.321225558778288
313,12.535171335678802
314,12.288928316187931
315,12.257834580088764
316,12.030590645550985
317,12.030590645550985
318,12.208035717443055
319,12.373056343100842
320,12.19904803059321
321,12.183105917743445
322,12.253743135479263
323,19.579459905764402
324,12.159745944542134
325,12.14950229404178
326,14.119370313179434
327,12.122256159437063
328,12.108829097974295
329,12.106467756650979
330,12.083142008678884
331,12.081857719543
332,12.07888111345183
333,16.78854042091144
334,13.24898369345986
335,12.04908544658356
336,13.857572423526658
337,12.151700933462836
338,12.03553933355072
339,12.025629323747992
340,12.019664751019025
341,12.028786390300759
342,11.976017765913186
343,11.929290947546681
344,12.016780852985333
345,11.918390573078392
346,12.415417430252782
347,16.153785233154267
348,11.877721344666579
349,11.926616645975605
350,16.088288601906086
351,11.850047490432939
352,11.840702867985952
353,11.834175283390765
354,15.626064630262888
355,11.88811004378786
356,11.801189867834738
357,16.037836119780266
358,11.768172151778739
359,11.763575227965651
360,11.761370224130946
361,11.75637347842476
362,18.496889743116547
363,11.733449588577212
364,13.34877677693328
365,11.724563076098237
366,11.68931278227599
367,11.664383952669624
368,11.650650551754035
369,11.640157055446222
370,11.624860322207184
371,11.607280643451373
372,11.60261076384225
373,11.595380644906422
374,11.595325392217443
375,11.586287444655033
376,11.680184144087137
377,11.57612559085632
378,16.7403037101723
379,11.539031712054708
380,11.53313977222047
381,11.530175818376756
382,12.142685461349771
383,11.52554549632633
384,11.519781905766715
385,11.515721552272229
386,11.505598689583767
387,11.440903008922913
388,13.26491793852654
389,16.82212940712582
390,11.400596279996309
391,17.05364140924226
392,11.388891684046781
393,11.382395278503408
394,14.618172911627994
395,11.778676296233881
396,12.728894031579934
397,11.524557549199937
398,11.311641248008913
399,11.310564452838547
400,11.299001779764962
401,11.256599930614927
402,14.980442904889884
403,11.205639145543591
404,11.610487652554982
405,11.173795700247245
406,11.170533742712921
407,11.157192933963753
408,15.897189220422355
409,11.132235892843465
410,11.132440732922605
411,11.120164318733623
412,11.113864804535059
413,11.099922014823763
414,11.083403292268272
415,11.626575527201563
416,11.629044895380224
417,11.046324041652891
418,11.050286648787512
419,10.971606268867896
420,10.95898355013061
421,10.929600830387999
422,11.02862816621706
423,11.129715855760479
424,10.908612998110774
425,10.906744660387382
426,10.90546044504981
427,11.137781004747835
428,10.902371582714137
429,10.884535531625561
430,10.870547441461856
431,10.868111201200922
432,10.866413747926268
433,10.864675165292565
434,11.240919871903454
435,11.595610831588836
436,10.792571513972067
437,11.20055444658802
438,10.751799184597422
439,10.746949493754942
440,12.08678785780842
441,10.702390170761937
442,10.687845613149458
443,10.651903863363215
444,10.640699464258175
445,10.640244837223964
446,10.572162721171585
447,16.47202097816328
448,10.52376829760896
449,10.519510678674001
450,10.49504487733444
451,11.401345649498484
452,10.547523267314807
453,12.178357093458791
454,11.514943427513542
455,10.449438978277493
456,10.41900216578825
457,10.404989848841234
458,10.403080323368991
459,10.744623610809523
460,10.388256633982337
461,10.383070156562187
462,10.76346186893138
463,10.379970147879572
464,10.36549051160455
465,10.41078696652556
466,10.340935706497342
467,11.255488043654255
468,10.33676236128356
469,10.329996347572642
470,10.314205506925742
471,10.606213707876396
472,10.304475988617215
473,10.299945551484317
474,10.268408405328712
475,13.692905540216135
476,10.231567529594747
477,10.209353295421538
478,16.527019902658157
479,10.175725983494056
480,10.172942006713589
481,10.149253281886617
482,10.131220556184145
483,10.146002265529594
484,10.081173380925554
485,10.30537961825751
486,10.074073853111662
487,10.02300242103727
488,10.019669306825538
489,10.002563360726816
490,10.00242750039103
491,9.988104398256008
492,9.982668350410568
493,9.948938815440046
494,9.933774245141
495,9.917341146824663
496,9.914328575714002
497,9.891060657528001
498,10.478864197361565
499,9.865006565717847
500,9.859378912910065
501,11.961526687955528
502,10.553100731072345
503,9.812577677176286
504,9.793728488543389
505,9.762211965178174
506,9.956412015844014
507,13.150667023334615
508,9.71794080038648
509,10.964830556109423
510,9.656819456174961
511,9.649498121050817
512,10.346890499984685
513,10.973940392743664
514,12.387189310066233
515,10.555343878678192
516,10.820557980368374
517,10.881926450925217
518,9.578934005308442
519,9.91219949313815
520,9.549238235812235
521,9.526755663250837
522,9.51148146411212
523,9.472704636443673
524,15.240357861251098
525,9.411810747608898
526,9.400547423044127
527,9.373903755841548
528,9.393328373313297
529,9.368198456591763
530,9.364090971782101
531,13.016702816737501
532,9.495820020872763
533,9.353401214816834
534,9.285726098882073
535,9.338029733117072
